event_id,mrp,mpp,place,mag,mag_type,mrr,mtp,longitude,time,depth,source,latitude,mrt,mtt,Repi,fault_style
16957873,,,,7.1,MB,,,75.1566,,20,ISC,28.7836,,,329,U
1763683,,,,7.6,MW,,,70.3405,,16,ISC,23.3777,,,523,U
913843,,,,7.2,MW,,,80.7454,,20,ISC,29.73,,,731,U
iscgem16957848,,,"The 1905 Kangra, India Earthquake",7.9,mw,,,76.916,1905-04-04 00:49:59.230000+00:00,20,USGS,32.597,,,780,U
16957848,,,,7.8,MW,,,76.7878,,20,ISC,32.6359,,,780,U
usp0007xx2,,,"29 km ESE of Harnai, Pakistan",7.1,mwc,,,68.208,1997-02-27 21:08:02.360000+00:00,33,USGS,29.976,,,789,U
iscgem16958054,,,"58 km SW of Bhag, Pakistan",7.16,mw,,,67.404,1909-10-20 23:41:39.660000+00:00,15,USGS,28.668,,,790,U
iscgem906971,,,"14 km SSE of Mach, Pakistan",7.2,mw,,,67.391,1931-08-27 15:27:21.770000+00:00,10,USGS,29.745,,,843,U
906971,,,,7.1,MW,,,67.365,,10,ISC,29.7837,,,847,U
904311,,,,8.1,MW,,,66.4767,,25,ISC,28.9409,,,885,U
iscgem904311,,,"17 km WSW of Kalat, Pakistan",7.61,mw,,,66.436,1935-05-30 21:32:57.110000+00:00,25,USGS,28.958,,,890,U
608458290,,,,7.3,MW,,,65.5315,,15.5,ISC,26.9109,,,925,U
7703077,,,,7.3,MW,,,73.7023,,8.2,ISC,34.4889,,,966,U
usp000e12e,,,"21 km NNE of Muzaffar?b?d, Pakistan",7.6,mwc,,,73.588,2005-10-08 03:50:40.800000+00:00,26,USGS,34.539,,,973,U
607208674,,,,7.6,MW,,,84.7168,,13.4,ISC,28.1302,,,1020,U
us20002926,,,"67 km NNE of Bharatpur, Nepal",7.8,mww,,,84.7314,2015-04-25 06:11:25.950000+00:00,8.22,USGS,28.2305,,,1024,U
607260024,,,,7.1,MS,,,85.0509,,12,ISC,27.8607,,,1047,U
usp000htb4,,,"46 km WSW of Dalbandin, Pakistan",7.2,mww,,,63.951,2011-01-18 20:23:23.480000+00:00,68,USGS,28.777,,,1114,U
iscgem899220,,,1945 Makran Subduction Zone Earthquake,8.1,mw,,,63.675,1945-11-27 21:56:53.730000+00:00,15,USGS,24.978,,,1115,U
899220,,,,8,MW,,,63.601,,15,ISC,24.9267,,,1123,U
16958043,,,,7.2,MW,,,70.2511,,200,ISC,35.3869,,,1144,U
us20002ejl,,,Nepal,7.3,mww,,,86.0655,2015-05-12 07:05:19.730000+00:00,15,USGS,27.8087,,,1144,U
610588278,,,,7.5,MW,,,86.126,,12.3,ISC,27.8014,,,1150,U
904745,,,,8,MW,,,86.5885,,15,ISC,26.8847,,,1185,U
16958151,,,,7.6,MS,,,71.2843,,100,ISC,36.229,,,1200,U
521361,,,,7.3,MW,,,70.9277,,99.8,ISC,36.1612,,,1203,U
iscgemsup16958151,,,"50 km SSW of Ashkāsham, Afghanistan",7.4,mB,,,71.262,1911-07-04 13:33:18.260000+00:00,100,USGS,36.282,,,1206,U
usp0002h5z,,,"75 km S of Jurm, Afghanistan",7.4,mw,,,70.896,1985-07-29 07:54:44.070000+00:00,98.7,USGS,36.19,,,1207,U
912367,,,,7.8,MS,,,70.7114,,240,ISC,36.2017,,,1213,U
iscgem912367,,,"71 km SSW of Jurm, Afghanistan",7.8,mw,,,70.674,1921-11-15 20:36:43.370000+00:00,240,USGS,36.236,,,1218,U
iscgem904745,,,1934 Bihar-Nepal Earthquake,8,mw,,,86.941,1934-01-15 08:43:25.820000+00:00,15,USGS,27.275,,,1223,U
912096,,,,7.5,MS,,,71.0216,,220,ISC,36.3933,,,1225,U
894001,,,,7.5,MS,,,71.1348,,215.6,ISC,36.4335,,,1226,U
usp00020xw,,,"55 km S of Jurm, Afghanistan",7.4,mw,,,70.738,1983-12-30 23:52:39.930000+00:00,214.5,USGS,36.372,,,1230,U
907883,,,,7.1,MS,,,70.5863,,200,ISC,36.3504,,,1233,U
563957,,,,7.5,MW,,,70.6866,,215.6,ISC,36.3868,,,1233,U
iscgem858598,,,"51 km S of Jurm, Afghanistan",7.44,mw,,,70.724,1965-03-14 15:53:07.930000+00:00,207.8,USGS,36.405,,,1234,U
858598,,,,7.4,MW,,,70.6872,,215.3,ISC,36.4012,,,1235,U
3183177,,,,7.3,MW,,,70.5921,,204.8,ISC,36.3743,,,1235,U
911158,,,,7.3,MS,,,71.0431,,205,ISC,36.5008,,,1235,U
iscgem888345,,,"42 km NNW of B?my?n, Afghanistan",7.27,mw,,,67.607,1956-06-09 23:13:55.940000+00:00,25,USGS,35.155,,,1239,U
888345,,,,7.6,MW,,,67.6069,,25,ISC,35.1551,,,1239,U
895581,,,,7.5,MS,,,71.2779,,215.4,ISC,36.6059,,,1241,U
903337,,,,7.2,MS,,,70.8392,,200,ISC,36.5197,,,1243,U
894411,,,,7.5,MS,,,70.9385,,221.9,ISC,36.55,,,1243,U
13493073,,,,7.2,MW,,,81.463,,13.1,ISC,35.4592,,,1246,U
5267309,,,,7.3,MW,,,70.5359,,228.5,ISC,36.4752,,,1247,U
usp000g1w2,,,"226 km SE of Hotan, China",7.2,mwc,,,81.467,2008-03-20 22:32:57.930000+00:00,10,USGS,35.49,,,1250,U
612180979,,,,7.6,MW,,,70.5277,,204,ISC,36.503,,,1250,U
cent19021006091500000,,,"Hindu Kush region, Afghanistan",7.2,ms,,,70.5,1902-10-06 09:15:00+00:00,200,USGS,36.5,,,1251,U
iscgem896379,,,"35 km SSW of Jurm, Afghanistan",7.5,mw,,,70.698,1949-03-04 10:19:31.060000+00:00,228.7,USGS,36.563,,,1252,U
896379,,,,7.5,MS,,,70.6985,,228.7,ISC,36.5634,,,1252,U
usp000azhc,,,"51 km SW of Jurm, Afghanistan",7.4,mwc,,,70.482,2002-03-03 12:08:19.740000+00:00,225.6,USGS,36.502,,,1252,U
us10003re5,,,"Hindu Kush region, Afghanistan",7.5,mww,,,70.3676,2015-10-26 09:09:42.560000+00:00,231,USGS,36.5244,,,1258,U
606824152,,,,7.5,MW,,,62.136,,63.1,ISC,27.9704,,,1271,U
642702627,,,,7.2,MW,,,87.3781,,10,ISC,28.6036,,,1286,U
us6000pi9w,,,2025 Southern Tibetan Plateau Earthquake,7.1,mww,,,87.3781,2025-01-07 01:05:16.734000+00:00,10,USGS,28.6036,,,1286,U
us100044k6,,,"104 km W of Murghob, Tajikistan",7.2,mww,,,72.7797,2015-12-07 07:50:05.950000+00:00,22,USGS,38.2107,,,1387,U
iscgem16958134,,,"120 km W of Murghob, Tajikistan",7.23,mw,,,72.596,1911-02-18 18:41:09.430000+00:00,15,USGS,38.289,,,1398,U
16958134,,,,7.2,MW,,,72.6282,,15,ISC,38.3312,,,1402,U
16957929,,,,7.1,MS,,,67.0209,,35,ISC,36.7902,,,1419,U
899165,,,,8.2,M,,,60.5,10/27/45 21:57,,ISC,25,,,1433,U
iscgem16957929,,,"24 km SSW of Tirmiz, Uzbekistan",7.1,mw,,,67.132,1906-10-24 14:43:18.520000+00:00,35,USGS,37.032,,,1437,U
911023,,,,7.1,MW,,,83.4533,,10,ISC,37.0639,,,1494,U
